,Catégorie,Produit,Prix Habituel,Prix,Description
980, Makanan   Bahan Kue   Susu Cair & Kental Manis , Indomilk Kental Manis Coklat 6X37g,,Rp7.100,"KOMPOSISI :
Gula, susu sapi segar, lemak nabati, bubuk whey, bubuk cokelat, maltodekstrin, buttermilk bubuk, air, susu bubuk skim, perisa identik alami (mengandung pewarna alami karamel E150c,d), garam, lactosa, penstabil nabati, antioksidan(tokoferol), vitamin A, B1, kolin dan vitamin D3.

OTHER DETAILS :
Susu kental manis cokelat indomilk dibuat dengan susu segar dan tinggi kalsium, Vit A, B1, zink, fosfor dan mengandung Vit D3, B2, B3, B6, B12. Dapat diminum ataupun dicampur dengan makanan/minuman lain. Minum susu kental manis cokelat Indomilk setiap hari akan membantu memenuhi kebutuhan tubuh.

TAKARAN PER KEMASAN :
Sajian per kemasan : 6

TAKARAN PER SERVING :
Energi total 140kkal, energi dari lemak 35kkal. % AKG: Lemak total 4g, lemak jenuh 2g, lemak tidak jenuh 1.5g, kolesterol 3mg, protein 1g, karbohidrat total 24g, serat pangan 1g, gula 19g, natrium 45mg, kalium 140mg. Vitamin A 15%, vitamin B1 25%, vitamin B2 10%, vitamin B3 8%, vitamin B6 15%, vitamin B12 15%, vitamin C 6%, vitamin D3 8%, vitamin E 6%, vitamin K1 6%, yodium 15%, zink 35%, besi 4%, kalsium 15%, fosfor 15%.

TAKARAN SAJI :
Takaran saji 1sct: 37g

PLU :
20013434"
981, Ibu & Anak   Makanan & Susu Bayi   Susu Balita , S-26 Promise Susu Bubuk Pertumbuhan 4 Vanilla 400G,Rp 84.500,Rp81.500,"CARA PENGGUNAAN :
Satu sendok takar= 8.88 gram. Campur satu sendok takar S-26 Procal dengan 35 ml air hangat.

CARA PENYIMPANAN :
Simpanlah kotak yang belum dibuka ditempat sejuk dan kering. Hindarkan menyimpan ditempat bersuhu tinggi.

KOMPOSISI :
Susu Bubuk Tanpa Lemak, Maltodekstrin, Laktosa, Minyak-Minyak Nabati [Kedelai, Oleat Bunga Matahari, Kelapa Sawit] Mengandung Antioksidan (Tokoferol), Konsentrat Whey Protein, 11 Mineral, Pengemulsi Lesitin Kedelai, Premiks Vitamin Dan Asam Askorbat, Asam Lemak Tak Jenuh Ganda Rantai Panjang Berasal Dari Sel Tunggal [Asam Arakhidonat (AA), Asam Dokosaheksaenoat (DHA)], Perisa Artifisial (Etil Vanilin), Antioksidan (Campuran Tokoferol, Askorbil Palmitat), Pengatur Keasaman (Asam Sitrat), Lutein.

OTHER DETAILS :
S-26 Promise susu pertumbuhan rasa vanilla untuk anak usia 3-12 tahun 400gram.

PERHATIAN :
Tidak cocok untuk bayi dibawah usia 12 bulan.

TAKARAN PER KEMASAN :
Sajian per kemasan : 13

TAKARAN PER SERVING :
Energi total 240kkal, Energi dari lemak 70kkal, Lemak total 8g,Lemak Jenuh 1.5g, Lemak trans 0g, Asam linoleat 2130mg, Asam linolenat 185mg, protein 8g, karbohidrat total 33g, gula 20g, Laktosa 11g, sukrosa 7g, natrium 120mg, kalium 460mg. %AKG : vitamin A 50%, vitamin C 30%, vitamin D 55%, vitamin E 15%, vitamin B1 25%, vitamin B2 45%, vitamin B6 20%, vitamin B12 85%, Niasin 20%, Asam folat 15%, Asam pantotenat 15%, kalsium 35%, fosfor 40%, magnesium 10%, zat besi 10%, seng 25%, iodium 42%. Persajian mengandung :Biotin 7mcg, kolin 33mg, Tembaga 0.11mg, Klorida 232mg

TAKARAN SAJI :
Takaran saji 53g (240mL)

PLU :
10040124"
982, Makanan   Cokelat & Permen   Permen , Frozz Candy Mint 15G,,Rp7.000,"KOMPOSISI :
Pemanis buatan Sorbitol (97%), Anti kempal Magnesium Stearat, Perisa Mint

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10037001"
983, Makanan   Makanan Instan   Mie Instan , Sedaap Mie Instant Kari Ayam 72G,,Rp2.700,"CARA PENGGUNAAN :
1. Masukkan mi didalam 400cc (2 gelas air mendidih, aduk selama 3 menit. 2. Siapkan bumbu, minyak bumbu dan bubuk cabe kedalam mangkok, sementara mi dimasak. 3. Tuangkan mi beserta kuahnya kedalam mangkok yang sudah berisi bumbu, aduk sampai rata. 4. Taburkan serbuk gurih dan mie sedaap siap untuk disajikan.

KOMPOSISI :
MI: Tepung terigu, minyak sayur, garam, pengental nabati, pengatur keasaman, pewarna (tartrazin CI 19140), dan zat besi. BUMBU: Garam, gula, penguat rasa, (mononatrium glutamat), perisa ayam, bubuk lada, bubuk kari, perisa bawang putih, vitamin A, B1, B5, B6, B12, niasin, asam folat). BUBUK CABE: MINYAK: Minyak sayur, bumbu kari. SERBUK GURIH KARI.

OTHER DETAILS :
Rasakan lezatnya Mie Sedaap Mie Kari Spesial 75G dengan rasa kari gurih berpadu serbuk gurih renyah ini bersama keluarga dan teman. Akan lebih nikmat bila disantap saat cuaca dingin atau hujan.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi total 340kkal, energi dari lemak 130kkal. % AKG: Lemak total 14g, lemak jenuh 7g, kolesterol 0g, protein 8g, karbohidrat total 44g, serat pangan 2g, gula 3g, natrium 980mg. Vitamin A 55%, vitamin B1 55%, vitamin B5 10%, vitamin B6 30%, vitamin B12 25%, niasin 45%, asam folat 30%, kalsium 4%, zat besi 25%.

TAKARAN SAJI :
Takaran saji : 72g

PLU :
10023791"
984," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Nutrijell Konnyaku Jelly Powder Leci 15G,Rp 5.600,Rp4.600,"CARA PENGGUNAAN :
1. Campurkan nutrijell dengan astu gelas gula (200g) atau sesuai selera. 2. Tambahkan air sebanyak 31/2 gelas (700mL), aduk rata sambil panaskan hingga mendidih. 3. Matikan api, diamkan 3 menit. Campurkan fruity acid kedalamnya dan aduk merata. 4. Nutrijell siap di cetak.

KOMPOSISI :
Keragenan, konnyaku bubuk, gula, pengatur keasaman asam (kalium sitrat, asam sitrat), serat pangan frukto oligasakarida, kalsium, vitamin D, perisa leci.

OTHER DETAILS :
Nutrijell adalah jeli serbuk yang dibuat dengan rumput laut dan konnyaku.

TAKARAN PER KEMASAN :
Sajian per kemasan : 4

TAKARAN PER SERVING :
Energi total 10kkal, energi dari lemak 0kkal. % AKG: Lemak total 0g, protein 0g, karbohidrat total 3g, serat pangan 1g, gula 1g, natrium 0mg. Vitamin D 8%, kalsium 6%.

TAKARAN SAJI :
Takaran saji 1sct: 3.75g

PLU :
10016718"
985, Home & Living   Deterjen dan Pembersih   Semir Sepatu , Kiwi Liquid Shoe Polish Black 75Ml,Rp 33.900,Rp25.800,"PLU :
10010232"
986, Kesehatan & Kecantikan   Perawatan Pria   Peralatan Cukur , Gillette Razor Vector Ganda,,Rp20.100,"CARA PENGGUNAAN :
Isi pisau cukur (cartridge) dikemas dalam kotak khusus yang membuatnya mudah dan aman untuk diganti.

OTHER DETAILS :
Bercukur bersih dengan dua mata pisau dengan sudut yang optimal memberikan cukuran yang mendekati kulit wajah anda dan mengurangi kemungkinan goresan, terpotong dan area yang terlewati. Pisau pertama mencukur dari dekat, dan yang kedua lebih dekat lagi.

PERHATIAN :
Jangan menggerakkan pencukur secara horizontal atau menyentuh ujung pisau dengan tangan untuk menghindari luka/terpotong.

PLU :
10008992"
987, Minuman   Susu   Susu Bubuk , Anchor Boneeto Susu Bubuk Hi-Calcium Yummy Choco 700G,Rp 76.400,Rp65.500,"CARA PENGGUNAAN :
Tuang 4 sendok makan susu boneto (40g) dan ditambahkan air (200mL) panas

CARA PENYIMPANAN :
Simpan dalam wadah yang tertutup rapat untuk menghindari kerusakan produk

KOMPOSISI :
Susu bubuk, gula, bubuk coklat, maltodektrin, kalsium karbonat, premiks vitamin, premiks mineral, perisa krim, perisa susu, perisa coklat, garam

OTHER DETAILS :
Masa pertumbuhan adalah saat yang teramat penting bagi anak. Dibutuhkan nutrisi yang sangat tinggi dan baik agar tumbuh kembang anak dapat maksimal. Aktivitasnya yang mulai banyak dan rasa ingin tahunya yang sedang tinggi jelas membutuhkan dukungan nutris

PERHATIAN :
Tidak cocok untuk bayi berusia dibawah 1 tahun

TAKARAN PER KEMASAN :
Sajian perkemasan : 17

TAKARAN PER SERVING :
Energi total 180kkal, energi dari lemak 65kkal, Lemak total 7g, Lemak jenuh 4g, lemak trans 0g, kolesterol 17mg, asam linoleat (omega 6) 104,8mg, protein 6g, karbohidrat total 22g, serat pangan 1g, gula 11g, natrium 170mg, kalium 385mg, vitamin A 176,7, vitamin D3 5, vitamin C 48,8mg, vitamin E 5,7mg, Vitamin K1 10,9, Vitamin B1 0,4mg, Vitamin B2 0,5mg, vitamin B3 2,5mg, vitamin B5 2,1mg, vitamin B6 0,7mg, vitamin B9 289,6, vitamin B12 1,5, Kalsium 400mg, Fosfor 187,2mg, magnesium 42,2mg, besi 3,9mg, seng 4mg, mangan 0,2mg, Iodium 15,6, Fluor 0,2mg, selenium 5,7

TAKARAN SAJI :
Takaran saji 40g,

PLU :
10008484"
988, Home & Living   Deterjen dan Pembersih   Pelicin & Pewangi Pakaian , So Klin Pewangi Pakaian Refill Pink 800Ml,Rp 13.600,Rp8.900,"CARA PENGGUNAAN :
Mencuci dengan mesin cuci:

CARA PENYIMPANAN :
Simpan di tempat yang kering dan hindari dari sinar matahari langsung

KOMPOSISI :
Bahan aktif: Quatemary Ammonium Compounds

OTHER DETAILS :
So klin pewangi memberikan sensasi wangi yang selalu mengikuti kemanapun anda pergi.

PERHATIAN :
Jangan di campur dengan deterjen atau pemutih dan jauhkan dari jangkauan anak-anak.

PLU :
10007389"
989, Minuman   Kopi   Kopi Bubuk/ Biji , Abc Kopi Instant Kopi&Gula+Susu 10X31g,Rp 13.200,Rp11.400,"CARA PENGGUNAAN :
Tuangkan 1 sachet kopi abc susu dengan 175ml air mendidih.

KOMPOSISI :
Gula, Krimer, Kopi bubuk, Susu bubuk skim.

PLU :
10003922"
990, Makanan   Cokelat & Permen   Permen , Frozz Candy Cherry Mint 15G,,Rp8.400,"KOMPOSISI :
Sorbitol, Anti kempal Magnesium Stearat, Perisa Ceri, Perisa Mint, Pewarna Makanan (Karmoisin CI 14720)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10003491"
991, Makanan   Bahan Masakan   Bumbu Masak   Kecap & Saus , Abc Kecap Manis 135Ml,Rp 7.100,Rp6.100,"KOMPOSISI :
Gula, kelapa, kacang kedelai, biji gandum, garam.

PLU :
10000859"
992, Makanan   Bahan Masakan   Bumbu Masak   Mayonaise , Maestro Mayonnaise 100G,Rp 4.900,Rp3.900,"CARA PENYIMPANAN :
Simpan dalam lemari es setelah dibuka.

KOMPOSISI :
Air, minyak kedelai, gula, pati termodifikasi, garam, kunig telur, bubuk mustard, pengental gom xanthan, pengatur keasaman asam asetat, pengawet (natrium benzoat & kalium sorbat), sekuestran.

PLU :
20049493"
993, Minuman   Susu   Susu Ibu Hamil & Menyusui , Sgm Bunda Pro-Gressmaxx Tinggi Zat Besi Cokelat Susu Bubuk 150G,Rp 19.700,Rp18.000,"KOMPOSISI :
Konsentrat protein whey, sukrosa, susu bubuk full cream, bubuk coklat (7.1%), maltodekstrin, susu bubuk skim, premiks mineral, bubuk mengandung antioksidan natrium askorbinat dan tokoferol), perisa identik alami coklat, 12 vitamin, laktosa.

TAKARAN PER KEMASAN :
Sajian per kemasan : 5

TAKARAN PER SERVING :
Energi total : 140kkal, Energi dari lemak 20kkal. % AKG: Lemak total 2g, asam linoleat 100mg, protein 8g, karbohidrat total 24g, serat pangan 400mg, natrium 300mg, kalium 200mg. VItamin A 30%, VItamin C 40%, VItamin D3 40%, VItamin E 15%, Vitamin B1 40%, VItamin B2 40%, VItamin B3 20%, Vitamin B5 20%, VItamin B6 40%, VItamin B9 60%, VItamin B12 40%, kalsium 40%, fosfor 35%, magnesium 10%, besi 40%, zinc 40%, iodium 40%. DHA 20mg, kholin 25.80mg, biotin 7.80mcg.

TAKARAN SAJI :
Takaran saji: 30g

PLU :
20047844"
994, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Lifree Popok Perekat 8'S Large,Rp 57.600,Rp49.900,"BERAT :
860g

CARA PENGGUNAAN :
1.Gulingkan badan ke samping, letakkan popok dengan posisi tulang ekor di bagian tengah, lalu lekuklah tepian popok agar perekat tidak mengenai kulit. 2. Letakkan popok di tengah-tengah badan, lalu tarik dan rapatkan popok agar tidak ada celah di pangkal paha. 3. Taruhlah ujung popok di tengah perut, lalu rekatkan pita perekatnya. 4. Pelapis bagian paha harus ada di bagian luar.

CARA PENYIMPANAN :
Simpanlah di tempat yang sejuk dan kering.

KOMPOSISI :
Pulp, polymer, tissue, nonwoven fabrics, hot melt adhesive.

MERK :
LIFREE

NAMA :
POPOK PEREKAT 8'S

SIZE :
LARGE

PLU :
20045621"
995, Kesehatan & Kecantikan   Perawatan Pria   Wajah   Pembersih , Garnier Men Acno Fight Foam 6 In 1 Anti Acne 100Ml,Rp 35.100,Rp24.900,"KOMPOSISI :
Aqua water, glycerin,myristic acid, palmitic acid, stearic acid, pottasium hydroxide, lauric acid, polyethylene, glyceryl, distearate, glyceryl stearate, parfum fragrance, kaolin CI 42090, Blue1, CI 42090/blue 1 lake, CI 77007/ultra marines, citrus medica limonum, extract/lemon fruit extract, menthol metylisothiazolinone, peg-14m, salicylic acid, synthetic wax, tetrasodium EDTA, vaccinium myrtillus extract/vaccinium myrtillus fruit extract (F.I.L B43559/1).

OTHER DETAILS :
Facial foam pertama untuk pria yang mengalami 6 tanda masalah jerawat. Diperkaya dengan herba rpair dan purifyng salucylic acid. Formulanya membantu, mengurangi 6 tanda masalah jerawat yaitu mintak nerlebih, timbulnya jerawat, komedo, pori-pori besar, kemerahan dan noda bekas jerawat.

PLU :
20042866"
996, Kesehatan & Kecantikan   Perawatan Diri   Perawatan Mulut   Pasta Gigi Sensitif , Pepsodent Pasta Gigi Sensitive Expert Original 100G,,Rp35.000,"KOMPOSISI :
Water, sorbitol, hydrated silica, potassium citrate, hydroxypatite, PEG-32, zinc citrate, sodium lauryl sulphate, sodium monofluorophosphate, flavor, trisodium phosphate, cellulose gum, sodium hydroxide, sodium sacchirin, tocopheryl acetate, mica, CI 73360, CI 77891. Bahan aktif: 5.35% potassium citrate, 2% zinc citrate, 2% hydroxyapatite, 1.11% sodium monofluorophosphate.

PERHATIAN :
Untuk anak dibawah 12 tahun sebaiknya dikonsultasikan dengan dokter gigi terlebih dahulu.

PLU :
20035686"
997, Ibu & Anak   Makanan & Susu Bayi   Susu Balita , Bebelac 4 Susu Pertumbuhan Fos & Gos Madu 400G,,Rp55.800,"CARA PENGGUNAAN :
Rebus air bersih dan biarkan mendidih selama 10 menit. Dinginkan sampai suam kuku. Tuangkan air masak tersebut sebanyak 210ml kedalam gelas. Masukan 6 sendok takar Bebelac 4 ke dalamnya. Aduk sampai bubuk larut sempurna. Bebelac 4 yang lezat siap untuk dihidangkan.

CARA PENYIMPANAN :
Tutuplah rapat-rapat kemasan sesudah dipakai dan simpan ditempat yang sejuk dan kering, tetapi bukan dilemari es. Hindari sinar matahari.

KOMPOSISI :
Susu bubuk full cream, laktosa, susu skim bubuk, sukrosa, galakto oligosakarida, sirup glukosa padat, madu, fruktosa, mineral, vitamin, frukto oligosakarida, perisam madu, perisa vanila, fosfolipid, minyak ikan (DHA), minyak sel tunggal (AA), laktoferin.

OTHER DETAILS :
Susu pertumbuhan untuk anak usia 3 tahun keatas rasa madu.

PERHATIAN :
Tidak cocok untuk bayi dibawah usia 12 usia bulan

TAKARAN PER KEMASAN :
Sajian per kemasan : 9

TAKARAN PER SERVING :
Energi total 200kkal, Energi dari lemak 50kkal, Lemak total 6g (10%), Lemak jenuh 2.5g(14%), Kolesterol 20mg (7%), Asam linoleat 104mg, Protein 7g (12%), Karbohidrat total 28g (9%), Serat pangan 1g (5%), Serat pangan larut 1g, Total gula 24g, Laktosa 18g, Sukrosa 4g, Fruktosa 1g, Natium 90mg (4%), Kalium 380mg (8%), Vitamin A 30%, Vitamin D3 45%, VItamin E 30%, Vitamin C 40%, Vitamin B1 45%, Vitamin B2 40%, VItamin B3 30%, Vitamin B5 20%, Vitamin B6 35%, Vitamin B9 30%, Vitamin B12 30%, Kalsium 35%, Fosfor 35%, Magnesium 10%, Zat Besi 45%, Seng 35%, Iodium 40%, Selenium 45%, Prebiotik FOS & GOS 1.4g, DHA 9mg, AA 9mg, Fosfolipid 66mg, Asam a-linolenat 35mg, Laktoferin 10mg, Kolin 23mg, L-karitin 2.9mg, Biotin 6.5mcg, Inositol 16mg, Klorida 251mg, Tembaga 161mcg.

TAKARAN SAJI :
Takaran saji 6 sndk (45g)

PLU :
20035635"
998, Ibu & Anak   Makanan & Susu Bayi   Susu Balita , Bebelac 3 Susu Pertumbuhan Fos & Gos Madu 400G,,Rp62.000,"CARA PENGGUNAAN :
Rebus air bersih dan biarkan mendidih selama 10 menit. Dinginkan sampai suam kuku. Tuangkan air masak tersebut sebanyak 210ml kedalam gelas. Masukan 6 sendok takar Bebelac 3 ke dalamnya. Aduk sampai bubuk larut sempurna. Bebelac 3 yang lezat siap untuk dihidangkan.

CARA PENYIMPANAN :
Tutuplah rapat-rapat kemasan sesudah dipakai dan simpan ditempat yang sejuk dan kering, tetapi bukan dilemari es. Hindari sinar matahari.

KOMPOSISI :
Susu bubuk full cream, laktosa, sukrosa, susu skim bubuk, sirup glukosa padat, galakto oligosakarida, whey protein yang telah didemineralisasi, minyak nabati, madu, konsentrat whey protein, mineral , frukto oligosakarida, perisa vanila, vitamin, perisa madu, fosfolipid, minyak ikan (DHA), minyak sel tunggal (AA), laktoferin, taurin, kolin klorida, L-karitin mio inositol.

OTHER DETAILS :
Susu pertumbuhan untuk anak usia 1-3 tahun rasa madu.

PERHATIAN :
Tidak cocok untuk bayi dibawah usia 12 usia bulan

TAKARAN PER KEMASAN :
Sajian per kemasan : 9

TAKARAN PER SERVING :
Energi total 190kkal, Energi dari lemak 50kkal, Lemak total 6g, Lemak jenuh 1.5g, Kolesterol 15mg, Asam linoleat 338mg, Protein 6g, Karbohidrat total 28g, Serat pangan 1g, Serat pangan larut 1g, Total gula 24g, Laktosa 18g, Sukrosa 4g, Natium 75mg, Kalium 300mg, Protein 31%, Vitamin A 25%, Vitamin D3 40%, VItamin E 30%, Vitamin K1 40%, Vitamin C 40%, Vitamin B1 40%, Vitamin B2 70%, VItamin B3 35%, Vitamin B5 40%, Vitamin B6 40%, Vitamin B9 (Asam Folat) 40%, Vitamin B12 80%, Kalsium 45%, Fosfor 45%, Magnesium 30%, Zat Besi 40%, Seng 45%, Iodium 45%, Selenium 30%, Prebiotik FOS & GOS 1.4g, DHA 9mg, AA 9mg, Fosfolipid 68mg, Asam a-linolenat 52mg, Laktoferin 9.4mg, Kolin 24mg, Taurin 3.4mg, L-karitin 3.3mg, Biotin 5.9mcg, Inositol 12mg, Klorida 200mg, Tembaga 155mcg.

TAKARAN SAJI :
Takaran saji 6 sndk (43g)

PLU :
20035631"
999, Kesehatan & Kecantikan   Kesehatan   Obat Luar   Koyo , Hansaplast Koyo Hangat 10'S,Rp 7.500,Rp5.000,"OTHER DETAILS :
Hansaplast Koyo adalah Koyo modern bagi Anda yang aktif. Dikemas dengan teknologi Heat Lock yang menjaga agar sensasi hangat dan aromanya tetap prima setelah kemasan dibuka, sewarna dengan kulit, dan tidak meninggalkan bekas.

PLU :
20022903"
1000, Kesehatan & Kecantikan   Kosmetik   Wajah   Pembersih , Acnes Creamy Wash 100G,,Rp31.000,"CARA PENGGUNAAN :
Basahi wajah dan tuangkan acnes creamy wash secukupnya pada telapak tangan lalu gosok sampai timbul busa. Usapkan secara merata ke seluruh permukaan wajah dan bilas dengan air.

KOMPOSISI :
Water, glycerine, lauryl hydroxy sulfobetain, butylene glycol, polythylene glycol monostearate, lauric acid, CI 77288, palmitic acid, potassium hydroxide, olive (olea europea) oil, myristic acid, lauric acid diethanolamide, potassium lauroyl glutamate, potassium dioxide, ethanol, sodium hydroxide, fragrance, tocopheryl acetate, dipotassium glychyrrizinata, CI 77491, CI 77492, lactic acid, magnesium ascorbyl phosphate.

PLU :
20021810"
1001, Kesehatan & Kecantikan   Perawatan Badan   Badan   Lotion , Marina Hand Body Lotion Rich Moisturizing Avocado & Olive Oil 190Ml,Rp 8.900,Rp6.900,"CARA PENGGUNAAN :
Usapkan ke seluruh tubuh secara teratur setelah mandi dan setiap saat diperlukan dengan pemakaian teratur.

KOMPOSISI :
Aqua(water), petrolatum isopropyl palmitate, stearic acid, glycerin, cetyl alcohol, potassium hydroxide, myristil myristate, glyceryl stearate, dimethicone, carbomer, allantoin, persea gratissima (avocado) oil, olea europaea (olive) oil, panthenol, parfum (fragrance), tetrasodium EDTA, methylparaben, propylparaben, DMDM hydantoin, BHT, CI 42090, CI 19140.

OTHER DETAILS :
Melembabkan kulit sangat kering dengan kelembabab extra beraktivitas didalam dan luar ruangan tanpa disadari menyebabkan kulit kehilangan kelembaban alaminya, kulit jadi kering dan kasar. Jaga dan rawat kulitmu dgn marina natural rich moisturizing hand & body lotion, dgn natural moisturizing complex paduan dari avocado, olive da pro vit. B5.

PLU :
20021330"
1002, Kesehatan & Kecantikan   Perawatan Diri   Kesehatan Kewanitaan   Pembalut , Laurier Pembalut Wanita 6'S Relax Night 35Cm,Rp 9.700,Rp7.900,"PLU :
20021323"
1003, Home & Living   Mekanik & Elektrik   Perawatan Kendaraan , Glade Car Freshener Sweet Apple 70G,,Rp11.900,"PLU :
20016897"
1004, Makanan   Makanan Instan   Mie Instan , Nong Shim Instant Noodle Kimchi Ramyun 70G,Rp 13.500,Rp12.150,"CARA PENGGUNAAN :
1. Buka tutup kemasan

KOMPOSISI :
MI: Tepung gandum, minyak nabati, pati kentang, garam, pengatur keasaman kalium karbonat, pewarna alami, ekstrak teh hijau. BUMBU: Garam, penguat rasa, rempah, protein nabati, pasta cabe, ekstrak ragi, minyak nabati, gula, kimchi, pasta kedelai, bubuk, tepung jagung, saus ikan, sirup malt, tepung beras ketan, jamur, ekstrak cabe. SAYURAN: Kimchi kering, kubis kering.

OTHER DETAILS :
Mi Instan rasa kimchi

TAKARAN PER KEMASAN :
Sajian per kemasan: 2

TAKARAN PER SERVING :
Energi Total 150Kkal, energi dari lemak 60kkal, protein 3g, Lemak total 7g, lemak jenuh 3.5, karbohidrat 20g, gula 1g, natrium 540mg

TAKARAN SAJI :
Takaran saji: 35g

PLU :
20014023"
1005, Makanan   Makanan Instan   Mie Instan , Sedaap Mie Instant Ayam Spesial 69G,,Rp2.300,"CARA PENGGUNAAN :
Masukkan mi dalam 400cc(2 gelas) air mendidih, aduk selama 3 menit. Tuangkan mi beserta kuahnya kedalam mangkok yang sudah berisi bumbu. Aduk sampai rata. Siapkan bumbu, minyak bumbu dan bubuk cabe kedalam mangkok, sementara mi dimasak. Mie sedap siap untuk disajikan.

KOMPOSISI :
MI: Tepung terigu, minyak sayur, garam, pengental nabati, pengatur keasaman, pewarna (tartrazin CI 19140) dan zat besi. BUMBU: Gula, garam, penguat rasa (mononatrium glutamat), ekstrak ayam, perisa ayam, bubuk lada, bawang putih, daun bawang, vitamin A (mengandung antikosidan alfatokoferol), B1, B5, B6, B12, niasin, asam folat. BUBUK CABE, MINYAK: Minyak sayur, bawang merah dan bawang putih.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi total 320kkal, energi dari lemak 120kkal. % AKG: Lemak total 13g, lemak jenuh 0g, kolesterol 0mg, protein 8g, karbohidrat total 42g, gula 3g, natrium 940mg. Vitamin A 55%, vitamin B1 55%, vitamin B 10%, vitamin B6 30%, vitamin B12 25%, niasin 45%, asam folat 30%, kalsium 2%, zat besi 25%.

TAKARAN SAJI :
Takaran saji : 69g

PLU :
20011214"
1006, Makanan   Bahan Kue   Keju , Kraft Keju Cheddar Olahan 160G,Rp 23.800,Rp19.900,"CARA PENYIMPANAN :
Masukkan lemari es setelah dibuka.

KOMPOSISI :
Keju cheddar, air, padatan kasein susu (8%), minyak nabati (mengandung antioksidan BHA). Pengemulsi: Garam fosfat;pati jagung, garam, pengatur keasaman: Asam laktat; Pengawet: Kalium sorbat, nissin; Pewarna alami dan vitamin D (mengandung antioksidan tokoferol).

OTHER DETAILS :
Mengandung nilai kalsium yang tinggi. Diperkaya dengan protein dan vitamin D

TAKARAN PER KEMASAN :
Sajian per kemasan : 9

TAKARAN PER SERVING :
Energi total 70kkal, energi dari lemak 45kkal. % AKG: Lemak totak 5g, lemak jenuh 3.5g, protein 4g, karbohidrat total 2g, gula 0g, natrium 280mg. Vitamin D 6%, kalsium 20%.

TAKARAN SAJI :
Takaran saji : 20g

PLU :
20003902"
1007, Minuman   Susu   Susu Kesehatan dan Diet , Hilo Active Susu Bubuk Hi-Calcium Chocolate 250G,Rp 32.000,Rp29.500,"CARA PENGGUNAAN :
Penyajian Hangat: Larutkan 4 sdm susu hilo ke dalam 200mL air hangat. Aduk & siap disajikan.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Susu bubuk skim, gula pasir, maltodekstrin, krimer nabati, bubuk coklat, premiks vitamin & mineral, susu bubuk full krim, glukosamin, perisa artifisial, kolin, alga merah, kondroitin, pemanis buatan sesulfam-K, kromium pikolinat.

OTHER DETAILS :
Lemak lebih rendah, namun tetap dengan rasa yang enak

PERHATIAN :
Tidak cocok untuk bayi.

TAKARAN PER KEMASAN :
Sajian per kemasan: 6

TAKARAN PER SERVING :
Energi total 160kkal. Energi dari lemak 20kkal. % AKG: Lemak total 2.5g, lemak jenuh 2g, lemak trans 0g, kolesterol 0mg, protein 6g, karbohidrat total 28g, natrium 135mg, kalium 230mg. Vitamin A 50%, Vitamin B1 60%, Vitamin B2 60%, Vitamin B3 60%, Vitamin B5 60%, Vitamin B6 55%, Vitamin B12 50%, asam folat 50%, Vitamin C 35%, Vitamin D3 50%, Vitamin E 35%, kalsium 65%, fosfor 25%, seng 50%, magnesium 15%, yodium 40%, mangan 20%, selenium 60%.

TAKARAN SAJI :
Takaran saji: 40g

PLU :
10033815"
1008, Makanan   Bahan Masakan   Bumbu Masak   Garam & Bumbu , Mamasuka Tepung Bakwan Krispi 225G,Rp 6.200,Rp4.600,"CARA PENGGUNAAN :
Campur 1 bungkus tepung bakwan mamasuka 250g dengan air 350mL (1 gelas), aduk rata. Masukkan bahan-bahan yang diinginkan, Aduk rata. Goreng dalam minyak panas, sesendok demi sesendok hingga kecoklatan. Hidangkan selagi panas.

KOMPOSISI :
Tepung terigu, garam, gula, lada, bawang putih, bawang merah, bumbu-bumbu lain, pengawet rasa mononatrium glutamat dan natrium bikarbonat.

OTHER DETAILS :
Sajikan kelezatan makanan cemilan kesukaan anda dengan mudah dan praktis bersama tepung bakwan mamasuka.

PLU :
10028410"
